"No","Priority","English","Local",,,
"1.9e+02","3","High wind speed - ","High wind speed - ",,,
"1.9e+02","3","Analog input high level fault ","Analog input high level fault ",,,
"1.9e+02","3"," Action:Analog input is higher than 22mA
 Device: Z2-D3
 Location: Trolley cubicle ,Dwg p:417
 Check:cable of the Anemometer
 
 SW I/O:PIW224,Dwg p:417, SW:FC172
 Alarm SA ref:1.7.2, SW:FC172"," Action:Analog input is higher than 22mA
 Device: Z2-D3
 Location: Trolley cubicle ,Dwg p:417
 Check:cable of the Anemometer
 
 SW I/O:PIW224,Dwg p:417, SW:FC172
 Alarm SA ref:1.7.2, SW:FC172",,,
"1.9e+02","3","Control voltage alarm","Control voltage alarm",,,
"1.9e+02","3","Breaker  O-F09 tripped","Breaker  O-F09 tripped",,,
"1.9e+02","3"," Action:Drives OK status disabled
 Device: Breaker  O-F09
 Location: E-room, Dwg p:15
 Check: Status of the breaker and cable
 for devices supplied by this breaker 
SW I/O: I11.7, Dwg p:309 SW:FC100
 Alarm SA ref: 1.2.1, SW: FC121"," Action:Drives OK status disabled
 Device: Breaker  O-F09
 Location: E-room, Dwg p:15
 Check: Status of the breaker and cable
 for devices supplied by this breaker 
SW I/O: I11.7, Dwg p:309 SW:FC100
 Alarm SA ref: 1.2.1, SW: FC121",,,
"1.9e+02","3","Charce circuit voltage alarm","Charce circuit voltage alarm",,,
"1.9e+02","3","Breaker  O-F10 tripped","Breaker  O-F10 tripped",,,
"1.9e+02","3"," Action:Active supply ROB2 disabled
 Device: Breaker  O-F10
 Location: E-room, Dwg p:17
 Check: Status of the breaker and cable
 for devices supplied by this breaker 
SW I/O: I12.0, Dwg p:310 SW:FC100
 Alarm SA ref: 1.2.1, SW: FC121"," Action:Active supply ROB2 disabled
 Device: Breaker  O-F10
 Location: E-room, Dwg p:17
 Check: Status of the breaker and cable
 for devices supplied by this breaker 
SW I/O: I12.0, Dwg p:310 SW:FC100
 Alarm SA ref: 1.2.1, SW: FC121",,,
"1.9e+02","1","Crane OFF, no activity","Crane OFF, no activity",,,
"1.9e+02","1",,,,,
"1.9e+02","1",,,,,
"1.9e+02","1","Trolley control place is selected","Trolley control place is selected",,,
"1.9e+02","1",,,,,
"1.9e+02","1",,,,,
"1.9e+02","1","Local control place is selected","Local control place is selected",,,
"1.9e+02","1",,,,,
"1.9e+02","1",,,,,
"1.9e+02","1","Eroom control place is selected","Eroom control place is selected",,,
"1.9e+02","1",,,,,
"1.9e+02","1",,,,,
"1.9e+02","1","Diesel is stopping","Diesel is stopping",,,
"1.9e+02","1",,,,,
"1.9e+02","1",,,,,
"2e+02","1","Shore power supply for STS crane","Shore power supply for STS crane",,,
"2e+02","1"," is active"," is active",,,
"2e+02","1",,,,,
"2e+02","1","Control voltage alarm - ","Control voltage alarm - ",,,
"2e+02","1","Breaker  T-F217 tripped ","Breaker  T-F217 tripped ",,,
"2e+02","1"," Action: Main contactor ON disabled
 Device: Breaker  O-F217
 Location: Trolley, Dwg p
 Check: Status of the breaker and cable
 for devices supplied by this breaker 
 SW I/O: I63.7, Dwg p:310, SW:FC100
 Alarm SA ref: 1.4.1, SW: FC141"," Action: Main contactor ON disabled
 Device: Breaker  O-F217
 Location: Trolley, Dwg p
 Check: Status of the breaker and cable
 for devices supplied by this breaker 
 SW I/O: I63.7, Dwg p:310, SW:FC100
 Alarm SA ref: 1.4.1, SW: FC141",,,
"2e+02","1","Telescope is permitted","Telescope is permitted",,,
"2e+02","1",,,,,
"2e+02","1",,,,,
"2e+02","1","nu","nu",,,
"2e+02","1",,,,,
"2e+02","1",,,,,
"2e+02","1","nu","nu",,,
"2e+02","1",,,,,
"2e+02","1",,,,,
"2e+02","3","Hoist 1 - Inverter Drive fault","Hoist 1 - Inverter Drive fault",,,
"2e+02","3",,,,,
"2e+02","3"," Action: Hoist disabled
 Device:Hoist inverter A1-A1
 Location: E-room, Dwg p:50
 Check: Hoist/gantry inverter fault
 Turn crane OFF and ON again to reset
 SW I/O: MA1_D2V_FAULT
 Alarm SA ref: 2.1.3, SW:FC213"," Action: Hoist disabled
 Device:Hoist inverter A1-A1
 Location: E-room, Dwg p:50
 Check: Hoist/gantry inverter fault
 Turn crane OFF and ON again to reset
 SW I/O: MA1_D2V_FAULT
 Alarm SA ref: 2.1.3, SW:FC213",,,
"2e+02","3","Hoist 2 - Inverter Drive fault","Hoist 2 - Inverter Drive fault",,,
"2e+02","3",,,,,
"2e+02","3"," Action: Hoist disabled
 Device:Hoist inverter A2-A1
 Location: E-room, Dwg p:53
 Check: Hoist/gantry inverter fault
 Turn crane OFF and ON again to reset
 SW I/O: MA2_D2V_FAULT
 Alarm SA ref: 2.1.3, SW:FC213"," Action: Hoist disabled
 Device:Hoist inverter A2-A1
 Location: E-room, Dwg p:53
 Check: Hoist/gantry inverter fault
 Turn crane OFF and ON again to reset
 SW I/O: MA2_D2V_FAULT
 Alarm SA ref: 2.1.3, SW:FC213",,,
"2e+02","3","Hoist 1 - Drive not ready","Hoist 1 - Drive not ready",,,
"2e+02","3",,,,,
"2e+02","3"," Action: Hoist disabled
 Device: Hoist inverter A1-A1
 Location: E-room, Dwg p:50
 Check: Inverter faults
 
 SW I/O: MA1_READY, SW:FC213
 Alarm SA ref: 2.1.3, SW:FC213"," Action: Hoist disabled
 Device: Hoist inverter A1-A1
 Location: E-room, Dwg p:50
 Check: Inverter faults
 
 SW I/O: MA1_READY, SW:FC213
 Alarm SA ref: 2.1.3, SW:FC213",,,
"2e+02","3","Hoist 2 - Drive not ready","Hoist 2 - Drive not ready",,,
"2e+02","3",,,,,
"2e+02","3","Action: Hoist disabled
 Device: Hoist inverter A2-A1
 Location: E-room, Dwg p:53
 Check: Inverter faults
 
 SW I/O: MA2_READY, SW:FC213
 Alarm SA ref: 2.1.3, SW:FC213","Action: Hoist disabled
 Device: Hoist inverter A2-A1
 Location: E-room, Dwg p:53
 Check: Inverter faults
 
 SW I/O: MA2_READY, SW:FC213
 Alarm SA ref: 2.1.3, SW:FC213",,,
"2e+02","3","Hoist 1 Inverter Overload - ","Hoist 1 Inverter Overload - ",,,
"2e+02","3","Breaker A1-F1 tripped ","Breaker A1-F1 tripped ",,,
"2e+02","3"," Action: Hoist/Gantry disabled
 Device: Circuit breaker A1-F1
 Location: E-room, Dwg p:13
 Check: Hoist inverter overload
 Inverter faulty or faulty breaker
 SW I/O: I, Dwg p:, SW:FC200
 Alarm SA ref: 2.1.3, SW:FC213"," Action: Hoist/Gantry disabled
 Device: Circuit breaker A1-F1
 Location: E-room, Dwg p:13
 Check: Hoist inverter overload
 Inverter faulty or faulty breaker
 SW I/O: I, Dwg p:, SW:FC200
 Alarm SA ref: 2.1.3, SW:FC213",,,
"2e+02","3","Hoist 2 Inverter Overload - ","Hoist 2 Inverter Overload - ",,,
"2e+02","3","Breaker A2-F1 tripped","Breaker A2-F1 tripped",,,
"2e+02","3"," Action: Hoist/Gantry disabled
 Device: Circuit breaker A2-F1
 Location: E-room, Dwg p:13
 Check: Hoist inverter overload
 Inverter faulty or faulty breaker
 SW I/O: I, Dwg p:, SW:FC200
 Alarm SA ref: 2.1.3, SW:FC213"," Action: Hoist/Gantry disabled
 Device: Circuit breaker A2-F1
 Location: E-room, Dwg p:13
 Check: Hoist inverter overload
 Inverter faulty or faulty breaker
 SW I/O: I, Dwg p:, SW:FC200
 Alarm SA ref: 2.1.3, SW:FC213",,,
"2.1e+02","3","DC bus supply Failed","DC bus supply Failed",,,
"2.1e+02","3",,,,,
"2.1e+02","3"," Action: No Hoist, Trolley and Gantry 
 Device: Circuit breaker A1-F1 or A2-F1
 Location: E-room, Dwg p:1
 
 SW I/O: I9.6 or I9.7, Dwg p:118
 Alarm SA ref: 2.1.3, SW:FC213"," Action: No Hoist, Trolley and Gantry 
 Device: Circuit breaker A1-F1 or A2-F1
 Location: E-room, Dwg p:1
 
 SW I/O: I9.6 or I9.7, Dwg p:118
 Alarm SA ref: 2.1.3, SW:FC213",,,
"2.1e+02","3","Hoist 1 - Safety limit Tripped - ","Hoist 1 - Safety limit Tripped - ",,,
"2.1e+02","3","hoist disabled","hoist disabled",,,
"2.1e+02","3"," Action: E-stop circuit open
 Device: Limit switch A1-S1
 Location: Trolley, Dwg p:406
 Check: Hoist down off the limit and
 reset switches from trolley cabinet
 SW I/O:I65.4, Dwg p:406, SW:FC200
 Alarm SA ref:2.1.5.1, SW:FC208 "," Action: E-stop circuit open
 Device: Limit switch A1-S1
 Location: Trolley, Dwg p:406
 Check: Hoist down off the limit and
 reset switches from trolley cabinet
 SW I/O:I65.4, Dwg p:406, SW:FC200
 Alarm SA ref:2.1.5.1, SW:FC208 ",,,
"2.1e+02","3","Hoist 2 - Safety limit Tripped -","Hoist 2 - Safety limit Tripped -",,,
"2.1e+02","3"," hoist disabled"," hoist disabled",,,
"2.1e+02","3"," Action: E-stop circuit open
 Device: Limit switch A2-S1
 Location: Trolley, Dwg p:407
 Check: Hoist down off the limit and
 reset switches from trolley cabinet
 SW I/O:I66.4, Dwg p:407, SW:FC200
 Alarm SA ref: 2.1.5.1, SW:FC208"," Action: E-stop circuit open
 Device: Limit switch A2-S1
 Location: Trolley, Dwg p:407
 Check: Hoist down off the limit and
 reset switches from trolley cabinet
 SW I/O:I66.4, Dwg p:407, SW:FC200
 Alarm SA ref: 2.1.5.1, SW:FC208",,,
"2.1e+02","3","Hoist 1 Fan Motor Overload - ","Hoist 1 Fan Motor Overload - ",,,
"2.1e+02","3","Breaker A1-F11 tripped","Breaker A1-F11 tripped",,,
"2.1e+02","3"," Action: Alarm
 Device: Circuit breaker A1-F11
 Location:Trolley cubicle, Dwg p:16
 Check: Hoist motor 1 fan
 Hoist motor may overheat
 SW I/O: I62.0, Dwg p:403, SW:FC200
 Alarm SA ref: 2.1.4, SW:FC214 "," Action: Alarm
 Device: Circuit breaker A1-F11
 Location:Trolley cubicle, Dwg p:16
 Check: Hoist motor 1 fan
 Hoist motor may overheat
 SW I/O: I62.0, Dwg p:403, SW:FC200
 Alarm SA ref: 2.1.4, SW:FC214 ",,,
"2.1e+02","3","Hoist 2 Fan Motor Overload - ","Hoist 2 Fan Motor Overload - ",,,
"2.1e+02","3","Breaker A2-F11 tripped ","Breaker A2-F11 tripped ",,,
"2.1e+02","3"," Action: Alarm
 Device: Circuit breaker A2-F11
 Location:Trolley cubicle, Dwg p:16
 Check: Hoist motor 2 fan
 Hoist motor may overheat
 SW I/O:I62.1, Dwg p:403, SW:FC200
 Alarm SA ref: 2.1.4, SW:FC214 "," Action: Alarm
 Device: Circuit breaker A2-F11
 Location:Trolley cubicle, Dwg p:16
 Check: Hoist motor 2 fan
 Hoist motor may overheat
 SW I/O:I62.1, Dwg p:403, SW:FC200
 Alarm SA ref: 2.1.4, SW:FC214 ",,,
"2.1e+02","3","Hoist 1 - Motor overheat Alarm","Hoist 1 - Motor overheat Alarm",,,
"2.1e+02","3",,,,,
"2.1e+02","3"," Action: A1 hoist disabled
 Device: thermistor A1-M1
 Location: Trolley, Dwg p:50
 Check: Function of fan motor
 Let motor cooldown for 30 min.
 SW I/O: I64.4, Dwg p:405, SW:FC200
 Alarm SA ref: 2.1.4, SW:FC214"," Action: A1 hoist disabled
 Device: thermistor A1-M1
 Location: Trolley, Dwg p:50
 Check: Function of fan motor
 Let motor cooldown for 30 min.
 SW I/O: I64.4, Dwg p:405, SW:FC200
 Alarm SA ref: 2.1.4, SW:FC214",,,
"2.1e+02","3"," Hoist 2 - Motor overheat Alarm "," Hoist 2 - Motor overheat Alarm ",,,
"2.1e+02","3",,,,,
"2.1e+02","3"," Action: A2 hoist disabled
 Device: Thermistor A2-M1
 Location: Trolley, Dwg p:53
 Check: Function of fan motor
 Let motor cooldown for 30 min.
 SW I/O: I64.6, Dwg p: 405, SW:FC200
 Alarm SA ref: 2.1.4, SW:FC214"," Action: A2 hoist disabled
 Device: Thermistor A2-M1
 Location: Trolley, Dwg p:53
 Check: Function of fan motor
 Let motor cooldown for 30 min.
 SW I/O: I64.6, Dwg p: 405, SW:FC200
 Alarm SA ref: 2.1.4, SW:FC214",,,
"2.1e+02","2","Hoist 1 - Motor overheat Warning ","Hoist 1 - Motor overheat Warning ",,,
"2.1e+02","2",,,,,
"2.1e+02","2"," Action: Alarm
 Device: Thermistor A1-M1
 Location: Trolley, Dwg p:50
 Check: Function of fan motor
 Let motor cooldown for 30 min.
 SW I/O: I64.5, Dwg p:405, SW:FC200
 Alarm SA ref: 2.1.4, SW:FC214 "," Action: Alarm
 Device: Thermistor A1-M1
 Location: Trolley, Dwg p:50
 Check: Function of fan motor
 Let motor cooldown for 30 min.
 SW I/O: I64.5, Dwg p:405, SW:FC200
 Alarm SA ref: 2.1.4, SW:FC214 ",,,
"2.1e+02","2"," Hoist 2 - Motor overheat Warning "," Hoist 2 - Motor overheat Warning ",,,
"2.1e+02","2",,,,,
"2.1e+02","2"," Action: Alarm
 Device: Thermistor A2-M1
 Location: Trolley, Dwg p:53
 Check: Function of fan motor
 Let motor cooldown for 30 min.
 SW I/O: I64.7, Dwg p:405, SW:FC200
 Alarm SA ref: 2.1.4, SW:FC214"," Action: Alarm
 Device: Thermistor A2-M1
 Location: Trolley, Dwg p:53
 Check: Function of fan motor
 Let motor cooldown for 30 min.
 SW I/O: I64.7, Dwg p:405, SW:FC200
 Alarm SA ref: 2.1.4, SW:FC214",,,
"2.2e+02","3","Hoist 1 Brake overload - ","Hoist 1 Brake overload - ",,,
"2.2e+02","3","Breaker A1-F7 tripped","Breaker A1-F7 tripped",,,
"2.2e+02","3"," Action: Hoist A1 disabled
 Device: Circuit breaker A1-F7
 Location: Trolley, Dwg p:52
 Check: Coil and cable of
 hoist 1 brake
 SW I/O: I62.4, Dwg p:403, SW:FC200
 Alarm SA ref: 2.1.4, SW:FC214"," Action: Hoist A1 disabled
 Device: Circuit breaker A1-F7
 Location: Trolley, Dwg p:52
 Check: Coil and cable of
 hoist 1 brake
 SW I/O: I62.4, Dwg p:403, SW:FC200
 Alarm SA ref: 2.1.4, SW:FC214",,,
"2.2e+02","3","Hoist 2 Brake overload - ","Hoist 2 Brake overload - ",,,
"2.2e+02","3","Breaker A2-F7 tripped ","Breaker A2-F7 tripped ",,,
"2.2e+02","3"," Action: Hoist A2 disabled
 Device: Circuit breaker A2-F7
 Location: Trolley, Dwg p:55
 Check: Coil and cable of
 hoist 2 brake 
 SW I/O: I62.5, Dwg p:403, SW:FC200
 Alarm SA ref: 2.1.4, SW:FC214 "," Action: Hoist A2 disabled
 Device: Circuit breaker A2-F7
 Location: Trolley, Dwg p:55
 Check: Coil and cable of
 hoist 2 brake 
 SW I/O: I62.5, Dwg p:403, SW:FC200
 Alarm SA ref: 2.1.4, SW:FC214 ",,,
"2.2e+02","2"," Hoist 1 - Brake supervision error"," Hoist 1 - Brake supervision error",,,
"2.2e+02","2"," when releasing "," when releasing ",,,
"2.2e+02","2"," Action: Hoist A1 disabled
 Device: Sensor A1-S11
 Location: Hoist brake, Dwg p:406
 Open signal not received in time
 Check brake control and sensor
 SW I/O: I65.5, Dwg p:406, SW:FC200
 Alarm SA ref: 2.1.8, SW:FC218"," Action: Hoist A1 disabled
 Device: Sensor A1-S11
 Location: Hoist brake, Dwg p:406
 Open signal not received in time
 Check brake control and sensor
 SW I/O: I65.5, Dwg p:406, SW:FC200
 Alarm SA ref: 2.1.8, SW:FC218",,,
"2.2e+02","2","Hoist 1 - Brake supervision error ","Hoist 1 - Brake supervision error ",,,
"2.2e+02","2","when driving ","when driving ",,,
"2.2e+02","2"," Action: Hoist A1 disabled
 Device: Sensor A1-S11
 Location: Hoist brake, Dwg p:406
 Open signal lost while driving
 Check brake control and sensor
 SW I/O: I65.5, Dwg p:406, SW:FC200
 Alarm SA ref: 2.1.8, SW:FC218"," Action: Hoist A1 disabled
 Device: Sensor A1-S11
 Location: Hoist brake, Dwg p:406
 Open signal lost while driving
 Check brake control and sensor
 SW I/O: I65.5, Dwg p:406, SW:FC200
 Alarm SA ref: 2.1.8, SW:FC218",,,
"2.2e+02","2","Hoist 1 - Brake supervision error ","Hoist 1 - Brake supervision error ",,,
"2.2e+02","2","when engaging","when engaging",,,
"2.2e+02","2"," Action: Hoist A1 disabled
 Device: Sensor A1-S11
 Location: Hoist brake, Dwg p:406
 Open signal ON when brake closed
 Check brake control and sensor
 SW I/O: I65.5, Dwg p:406, SW:FC200
 Alarm SA ref: 2.1.8, SW:FC218 "," Action: Hoist A1 disabled
 Device: Sensor A1-S11
 Location: Hoist brake, Dwg p:406
 Open signal ON when brake closed
 Check brake control and sensor
 SW I/O: I65.5, Dwg p:406, SW:FC200
 Alarm SA ref: 2.1.8, SW:FC218 ",,,
"2.2e+02","3","nu","nu",,,
"2.2e+02","3",,,,,
"2.2e+02","3",,,,,
"2.2e+02","2","Hoist 2 - Brake supervision error ","Hoist 2 - Brake supervision error ",,,
"2.2e+02","2","when releasing ","when releasing ",,,
"2.2e+02","2"," Action: Hoist A2 disabled
 Device: Sensor A2-S11
 Location: Hoist brake, Dwg p:407 
 Open signal not received in time
 Check brake control and sensor
 SW I/O: I66.5, Dwg p:407, SW:FC200
 Alarm SA ref: 2.1.8, SW:FC218"," Action: Hoist A2 disabled
 Device: Sensor A2-S11
 Location: Hoist brake, Dwg p:407 
 Open signal not received in time
 Check brake control and sensor
 SW I/O: I66.5, Dwg p:407, SW:FC200
 Alarm SA ref: 2.1.8, SW:FC218",,,
"2.2e+02","2","Hoist 2 - Brake supervision error ","Hoist 2 - Brake supervision error ",,,
"2.2e+02","2","when driving","when driving",,,
"2.2e+02","2"," Action: Hoist A2 disabled
 Device: Sensor A2-S11
 Location: Hoist brake, Dwg p:407
 Open signal lost while driving
 Check brake control and sensor
 SW I/O: I66.5, Dwg p:407, SW:FC200
 Alarm SA ref: 2.1.8, SW:FC218"," Action: Hoist A2 disabled
 Device: Sensor A2-S11
 Location: Hoist brake, Dwg p:407
 Open signal lost while driving
 Check brake control and sensor
 SW I/O: I66.5, Dwg p:407, SW:FC200
 Alarm SA ref: 2.1.8, SW:FC218",,,
"2.2e+02","2","Hoist 2 - Brake supervision error ","Hoist 2 - Brake supervision error ",,,
"2.2e+02","2","when engaging","when engaging",,,
"2.2e+02","2"," Action: Hoist A2 disabled
 Device: Sensor A2-S11
 Location: Hoist brake, Dwg p:407
 Open signal ON when brake closed
 Check brake control and sensor
 SW I/O: I66.5, Dwg p:407, SW:FC200
 Alarm SA ref: 2.1.8, SW:FC218"," Action: Hoist A2 disabled
 Device: Sensor A2-S11
 Location: Hoist brake, Dwg p:407
 Open signal ON when brake closed
 Check brake control and sensor
 SW I/O: I66.5, Dwg p:407, SW:FC200
 Alarm SA ref: 2.1.8, SW:FC218",,,
"2.2e+02","3","nu","nu",,,
"2.2e+02","3",,,,,
"2.2e+02","3",,,,,
"2.2e+02","3","Hoist 1 - Brake wear fault","Hoist 1 - Brake wear fault",,,
"2.2e+02","3",,,,,
"2.2e+02","3"," Action:Alarm
 Device: Sensor A1-S11
 Location: Hoist brake, Dwg p:406
 Check: Wear of the hoist brake disc
 and wear sensor function
 SW I/O: I65.6, Dwg p:406, SW:FC200
 Alarm SA ref: 2.1.8, SW:FC218 "," Action:Alarm
 Device: Sensor A1-S11
 Location: Hoist brake, Dwg p:406
 Check: Wear of the hoist brake disc
 and wear sensor function
 SW I/O: I65.6, Dwg p:406, SW:FC200
 Alarm SA ref: 2.1.8, SW:FC218 ",,,
"2.3e+02","3","Hoist 2 - Brake wear fault","Hoist 2 - Brake wear fault",,,
"2.3e+02","3",,,,,
"2.3e+02","3"," Action: Alarm
 Device: Sensor A2-S11
 Location: Hoist brake, Dwg p:407
 Check: Wear of the hoist brake disc
 and wear sensor function
 SW I/O: I66.6, Dwg p:407, SW:FC200
 Alarm SA ref: 2.1.8, SW:FC218 "," Action: Alarm
 Device: Sensor A2-S11
 Location: Hoist brake, Dwg p:407
 Check: Wear of the hoist brake disc
 and wear sensor function
 SW I/O: I66.6, Dwg p:407, SW:FC200
 Alarm SA ref: 2.1.8, SW:FC218 ",,,
"2.3e+02","3","Hoist 1  - encoder no pulses","Hoist 1  - encoder no pulses",,,
"2.3e+02","3",,,,,
"2.3e+02","3"," Action: Alarm
 Device:Hoist A1 pos. encoder A1-B1
 Location: Hoist gearbox 1, Dwg p:51
 Check:Encoder mechanical connection
 and cable to the gateway
 SW I/O:
 Alarm SA ref: 2.3.2.1, SW:FC234"," Action: Alarm
 Device:Hoist A1 pos. encoder A1-B1
 Location: Hoist gearbox 1, Dwg p:51
 Check:Encoder mechanical connection
 and cable to the gateway
 SW I/O:
 Alarm SA ref: 2.3.2.1, SW:FC234",,,
"2.3e+02","3","Hoist 2  - encoder no pulses","Hoist 2  - encoder no pulses",,,
"2.3e+02","3",,,,,
"2.3e+02","3"," Action: Alarm
 Device:Hoist A2 pos. encoder A2-B1
 Location:Hoist gearbox 2, Dwg p:54
 Check:Encoder mechanical connection
 and cable to gateway
 SW I/O:
 Alarm SA ref: 2.3.2.1, SW:FC234"," Action: Alarm
 Device:Hoist A2 pos. encoder A2-B1
 Location:Hoist gearbox 2, Dwg p:54
 Check:Encoder mechanical connection
 and cable to gateway
 SW I/O:
 Alarm SA ref: 2.3.2.1, SW:FC234",,,
"2.3e+02","2","Hoist 1 - Position MIN / MAX error","Hoist 1 - Position MIN / MAX error",,,
"2.3e+02","2",,,,,
"2.3e+02","2"," Action: Decreased speed
 Device:
 Location: ,Dwg p:
 Check:Calibrate hoist position
 Call maintenance
 SW I/O: MA1_POS1_E, SW:FC235
 Alarm SA ref: 2.3.2.3"," Action: Decreased speed
 Device:
 Location: ,Dwg p:
 Check:Calibrate hoist position
 Call maintenance
 SW I/O: MA1_POS1_E, SW:FC235
 Alarm SA ref: 2.3.2.3",,,
"2.3e+02","2","Hoist 1 - Position error at ","Hoist 1 - Position error at ",,,
"2.3e+02","2","check limit ","check limit ",,,
"2.3e+02","2"," Action: Decrease speed
 Device:A1-S1
 Location:Trolley,Dwg p:406
 Check:Calibrate hoist position
 Call maintenance
 SW I/O: MA1_POS2_E, SW:FC235
 Alarm SA ref: 2.3.2.3"," Action: Decrease speed
 Device:A1-S1
 Location:Trolley,Dwg p:406
 Check:Calibrate hoist position
 Call maintenance
 SW I/O: MA1_POS2_E, SW:FC235
 Alarm SA ref: 2.3.2.3",,,
"2.3e+02","2","Hoist 2 - Position MIN / MAX error ","Hoist 2 - Position MIN / MAX error ",,,
"2.3e+02","2",,,,,
"2.3e+02","2"," Action: Decrease speed
 Device:
 Location: ,Dwg p:407
 Check:Calibrate hoist position
 Call maintenance
 SW I/O: MA2_POS1_E, SW:FC235
 Alarm SA ref: 2.3.2.3"," Action: Decrease speed
 Device:
 Location: ,Dwg p:407
 Check:Calibrate hoist position
 Call maintenance
 SW I/O: MA2_POS1_E, SW:FC235
 Alarm SA ref: 2.3.2.3",,,
"2.3e+02","2","Hoist 2 - Position error at ","Hoist 2 - Position error at ",,,
"2.3e+02","2","check limit ","check limit ",,,
"2.3e+02","2"," Action: Decrease speed
 Device:A2-S1
 Location:Trolley,Dwg p:407
 Check:Calibrate hoist position
 Call maintenance
 SW I/O: MA2_POS2_E, SW:FC235
 Alarm SA ref: 2.3.2.3"," Action: Decrease speed
 Device:A2-S1
 Location:Trolley,Dwg p:407
 Check:Calibrate hoist position
 Call maintenance
 SW I/O: MA2_POS2_E, SW:FC235
 Alarm SA ref: 2.3.2.3",,,
"2.3e+02","3","Hoist - Calibration mode activated ","Hoist - Calibration mode activated ",,,
"2.3e+02","3","from Cab panel ","from Cab panel ",,,
"2.3e+02","3"," Action: Hoist position error
 Device: Calibration mode activated 
 Location: Cab Panel
 Check: Calibrate hoist position
 
 SW I/O: ,Dwg p: , SW:FC
 Alarm SA ref: , SW:FC 235"," Action: Hoist position error
 Device: Calibration mode activated 
 Location: Cab Panel
 Check: Calibrate hoist position
 
 SW I/O: ,Dwg p: , SW:FC
 Alarm SA ref: , SW:FC 235",,,
"2.3e+02","2","Hoist 1 - Load Cell difference is ","Hoist 1 - Load Cell difference is ",,,
"2.3e+02","2","too big","too big",,,
"2.3e+02","2"," Action: Hoist slowdown
 Device: Load cell 1 or load cell 2
 Location: , Dwg 
 Check: Call maintenance
 SW I/O: , Dwg , SW:FC253
 Alarm SA ref: 2.5.3, SW:FC253"," Action: Hoist slowdown
 Device: Load cell 1 or load cell 2
 Location: , Dwg 
 Check: Call maintenance
 SW I/O: , Dwg , SW:FC253
 Alarm SA ref: 2.5.3, SW:FC253",,,
"2.4e+02","2","Hoist 2 - Load Cell difference is ","Hoist 2 - Load Cell difference is ",,,
"2.4e+02","2","too big","too big",,,
"2.4e+02","2"," Action: Hoist slowdown
 Device: Load cell 3 or load cell 4
 Location: , Dwg 
 Check: Call maintenance
 SW I/O: , Dwg , SW:FC253
 Alarm SA ref: 2.5.3, SW:FC253"," Action: Hoist slowdown
 Device: Load cell 3 or load cell 4
 Location: , Dwg 
 Check: Call maintenance
 SW I/O: , Dwg , SW:FC253
 Alarm SA ref: 2.5.3, SW:FC253",,,
"2.4e+02","3","nu","nu",,,
"2.4e+02","3",,,,,
"2.4e+02","3",,,,,
"2.4e+02","2","Main Hoist 1 - Load Cell 1 Fault Low ","Main Hoist 1 - Load Cell 1 Fault Low ",,,
"2.4e+02","2","Limit Alarm","Limit Alarm",,,
"2.4e+02","2"," Action: Hoisting up disabled
 Device: Load cell ZA1-B1
 Location: Trolley, Dwg p: 417
 Check: cable of load cell to 
 PLC input
 SW I/O: PIW216, Dwg p:417, SW:FC200
 Alarm SA ref: 2.5.1, SW:FC251"," Action: Hoisting up disabled
 Device: Load cell ZA1-B1
 Location: Trolley, Dwg p: 417
 Check: cable of load cell to 
 PLC input
 SW I/O: PIW216, Dwg p:417, SW:FC200
 Alarm SA ref: 2.5.1, SW:FC251",,,
"2.4e+02","2","Main Hoist 1 - Load Cell 1 Fault ","Main Hoist 1 - Load Cell 1 Fault ",,,
"2.4e+02","2","High Limit Alarm","High Limit Alarm",,,
"2.4e+02","2"," Action: Hoisting up disabled
 Device: Load cell ZA1-B1
 Location: Trolley, Dwg p: 417
 Check: cable of load cell to  
 PLC input
 SW I/O: PIW216, Dwg p:417, SW:FC200
 Alarm SA ref: 2.5.1, SW:FC251"," Action: Hoisting up disabled
 Device: Load cell ZA1-B1
 Location: Trolley, Dwg p: 417
 Check: cable of load cell to  
 PLC input
 SW I/O: PIW216, Dwg p:417, SW:FC200
 Alarm SA ref: 2.5.1, SW:FC251",,,
"2.4e+02","2","Main Hoist 1 - Load Cell 2 Fault ","Main Hoist 1 - Load Cell 2 Fault ",,,
"2.4e+02","2","Low Limit Alarm ","Low Limit Alarm ",,,
"2.4e+02","2"," Action: Hoisting up disabled
 Device: Load cell ZA1-B2
 Location: Trolley, Dwg p: 417
 Check: cable of load cell to
  PLC input
 SW I/O: PIW218, Dwg p:417, SW:FC200
 Alarm SA ref: 2.5.1, SW:FC251"," Action: Hoisting up disabled
 Device: Load cell ZA1-B2
 Location: Trolley, Dwg p: 417
 Check: cable of load cell to
  PLC input
 SW I/O: PIW218, Dwg p:417, SW:FC200
 Alarm SA ref: 2.5.1, SW:FC251",,,
"2.4e+02","2","Main Hoist 1 - Load Cell 2 Fault ","Main Hoist 1 - Load Cell 2 Fault ",,,
"2.4e+02","2","High Limit Alarm","High Limit Alarm",,,
